ID,GeneID,geneSymbol,chr,strand,exonStart_0base,exonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,Event_Type
200,ENSMUSG00000033389.16,Arhgap44,chr11,-,65012906,65012924,65009881,65010039,65021940,65022121,200,"11,7,3","0,1,1","7,5,4","4,5,2",117,99,5.42E-05,0.013784315,"1.0,0.856,0.717","0.597,0.458,0.629",0.296,SE
453,ENSMUSG00000021978.9,Extl3,chr14,-,65075583,65078189,65066682,65066810,65097996,65098105,453,"203,218,194","0,0,0","181,250,170","1,4,2",2705,99,4.63E-05,0.012515224,"1.0,1.0,1.0","0.869,0.696,0.757",0.226,SE
517,ENSMUSG00000022441.17,Efcab6,chr15,-,83935914,83936032,83933072,83933206,83945091,83945260,517,"27,10,11","1,1,5","25,21,22","0,0,1",217,99,0.000319939,0.046275102,"0.925,0.82,0.501","1.0,1.0,0.909",-0.221,SE
696,ENSMUSG00000037674.15,Rfx7,chr9,+,72577038,72577072,72532239,72532980,72591750,72591833,696,"38,14,8","0,4,6","25,22,27","0,0,0",133,99,1.31E-05,0.005287716,"1.0,0.723,0.498","1.0,1.0,1.0",-0.26,SE
735,ENSMUSG00000028028.11,Alpk1,chr3,-,127685237,127685314,127684341,127684437,127686256,127686340,735,"4,1,2","1,2,2","2,5,1","0,1,0",176,99,6.51E-05,0.015805335,"0.692,0.22,0.36","1.0,0.738,1.0",-0.489,SE
1235,ENSMUSG00000040428.19,Plekha4,chr7,+,45553568,45553681,45549059,45549159,45553764,45554229,1235,"9,5,1","0,1,0","3,9,14","3,1,5",212,99,5.77E-05,0.014479381,"1.0,0.7,1.0","0.318,0.808,0.567",0.336,SE
1296,ENSMUSG00000027575.19,Arfgap1,chr2,+,180967533,180967814,180967244,180967329,180971050,180971114,1296,"142,186,165","0,0,0","104,169,187","55,25,22",380,99,0,0,"1.0,1.0,1.0","0.33,0.638,0.689",0.448,SE
1297,ENSMUSG00000027575.19,Arfgap1,chr2,+,180967601,180967814,180967233,180967329,180971050,180971114,1297,"184,240,216","0,0,0","138,219,230","55,25,22",312,99,0,0,"1.0,1.0,1.0","0.443,0.735,0.768",0.351,SE
1418,ENSMUSG00000029863.13,Casp2,chr6,+,42276869,42276930,42276486,42276785,42279776,42279926,1418,"22,24,26","9,3,5","7,14,7","9,8,15",160,99,0.000237516,0.037864838,"0.602,0.832,0.763","0.325,0.52,0.224",0.376,SE
1573,ENSMUSG00000026879.14,Gsn,chr2,+,35282650,35282721,35266819,35266903,35283904,35284109,1573,"21,30,17","33,18,29","73,126,73","39,44,29",170,99,0.000280779,0.042731482,"0.27,0.493,0.254","0.522,0.625,0.594",-0.241,SE
1659,ENSMUSG00000097589.9,Dleu2,chr14,-,61614165,61614271,61603033,61603806,61624432,61624482,1659,"1,5,6","3,3,0","1,1,2","0,0,0",205,99,3.89E-05,0.011265622,"0.139,0.446,1.0","1.0,1.0,1.0",-0.472,SE
2019,ENSMUSG00000027257.13,Pacsin3,chr2,+,91256301,91256408,91256143,91256190,91259863,91259927,2019,"1,0,0","0,2,1","3,1,7","2,0,0",206,99,5.47E-06,0.003316398,"1.0,0.0,0.0","0.419,1.0,1.0",-0.473,SE
2229,ENSMUSG00000042594.16,Sh2b3,chr5,-,121832502,121832590,121828401,121829076,121836549,121836859,2229,"3,1,2","0,0,0","8,4,4","2,4,0",187,99,0.000218086,0.036262084,"1.0,1.0,1.0","0.679,0.346,1.0",0.325,SE
2584,ENSMUSG00000018999.14,Slc35b4,chr6,-,34172627,34172755,34170460,34170574,34176777,34177082,2584,"0,0,0","30,37,19","10,13,0","23,30,19",227,99,3.73E-08,7.84E-05,"0.0,0.0,0.0","0.159,0.159,0.0",-0.106,SE
2604,ENSMUSG00000026074.14,Map4k4,chr1,+,40001429,40001591,40000530,40000749,40003756,40003987,2604,"75,71,71","20,23,22","57,58,58","45,41,43",261,99,3.01E-06,0.002193197,"0.587,0.539,0.55","0.325,0.349,0.338",0.221,SE
2605,ENSMUSG00000026074.14,Map4k4,chr1,+,40001429,40001591,40000530,40000749,40003762,40003987,2605,"44,42,44","0,1,0","36,24,42","2,6,6",261,99,5.49E-07,0.000627309,"1.0,0.941,1.0","0.872,0.603,0.726",0.247,SE
2999,ENSMUSG00000016487.15,Ppfibp1,chr6,+,146996808,146996901,146996389,146996482,146998166,146998281,2999,"74,85,139","28,28,24","24,50,115","35,58,49",192,99,0.000246712,0.038648244,"0.577,0.61,0.749","0.261,0.308,0.548",0.273,SE
3225,ENSMUSG00000040990.17,Sh3kbp1,chrX,+,159817241,159817298,159816576,159816706,159828373,159828579,3225,"19,24,22","8,12,7","10,19,11","13,19,21",156,99,0.000256572,0.039698491,"0.601,0.559,0.666","0.328,0.388,0.249",0.287,SE
3245,ENSMUSG00000029600.10,Rita1,chr5,-,120604209,120604247,120594304,120594619,120611377,120611637,3245,"5,4,4","0,0,0","9,0,4","0,4,2",137,99,0.000314812,0.046060952,"1.0,1.0,1.0","1.0,0.0,0.591",0.47,SE
3731,ENSMUSG00000026238.14,Ptma,chr1,+,86527848,86528012,86526736,86526950,86528774,86528856,3731,"2,2,3","3,2,0","4,1,2","0,0,0",263,99,5.35E-05,0.013784315,"0.201,0.273,1.0","1.0,1.0,1.0",-0.509,SE
3791,ENSMUSG00000020859.16,Spag9,chr11,+,94113262,94113301,94112032,94112146,94114172,94114349,3791,"226,219,232","449,505,598","237,350,255","417,498,345",138,99,5.26E-05,0.013643907,"0.265,0.237,0.218","0.29,0.335,0.347",-0.084,SE
3857,ENSMUSG00000048537.16,Phldb1,chr9,-,44708393,44708522,44707884,44708040,44710922,44710946,3857,"24,20,28","49,59,49","11,21,12","97,88,96",228,99,1.94E-06,0.001574316,"0.175,0.128,0.199","0.047,0.094,0.051",0.103,SE
3877,ENSMUSG00000021814.17,Anxa7,chr14,-,20467457,20467523,20464843,20464946,20467870,20467935,3877,"231,225,234","5,10,5","237,321,202","13,20,26",165,99,8.80E-05,0.019722019,"0.965,0.931,0.966","0.916,0.906,0.823",0.072,SE
3942,ENSMUSG00000021363.14,Mak,chr13,-,41030016,41030136,41025007,41026562,41034753,41034885,3942,"2,2,2","3,2,0","3,1,2","0,0,0",219,99,9.12E-05,0.020155878,"0.232,0.311,1.0","1.0,1.0,1.0",-0.486,SE
3956,ENSMUSG00000026096.14,Osgepl1,chr1,+,53317906,53318289,53314855,53315099,53319942,53320296,3956,"57,68,36","0,1,0","57,64,53","4,4,0",482,99,0.000205137,0.034859561,"1.0,0.933,1.0","0.745,0.767,1.0",0.14,SE
4210,ENSMUSG00000051586.16,Mical3,chr6,-,121019695,121019779,121016760,121016859,121021182,121021353,4210,"8,2,7","0,1,0","3,5,2","3,1,1",183,99,0.000310269,0.045928256,"1.0,0.52,1.0","0.351,0.73,0.52",0.306,SE
4223,ENSMUSG00000056870.9,Gulp1,chr1,+,44773639,44773663,44773270,44773387,44774052,44774145,4223,"3,8,4","10,9,6","0,1,0","11,9,7",123,99,8.52E-07,0.000872979,"0.194,0.417,0.349","0.0,0.082,0.0",0.293,SE
4305,ENSMUSG00000026131.18,Dst,chr1,+,34249803,34250130,34249478,34249638,34250609,34250694,4305,"37,56,50","319,329,337","76,74,121","278,386,355",426,99,1.05E-05,0.004416734,"0.026,0.038,0.033","0.06,0.043,0.073",-0.026,SE
4311,ENSMUSG00000026131.18,Dst,chr1,+,34303420,34303531,34302829,34303032,34306527,34306651,4311,"71,82,85","190,205,193","124,164,144","218,255,183",210,99,0.00011336,0.02272906,"0.15,0.159,0.172","0.211,0.233,0.271",-0.078,SE
4990,ENSMUSG00000061080.11,Lsamp,chr16,+,40786000,40786060,39984360,39984727,40979499,40979709,4990,"4,1,9","1,0,1","5,7,2","3,5,2",159,99,0.000173253,0.030823575,"0.714,1.0,0.849","0.509,0.466,0.384",0.401,SE
5029,ENSMUSG00000054901.7,Arhgef33,chr17,+,80386366,80386441,80381337,80381477,80388206,80388688,5029,"3,2,4","0,0,0","2,0,3","2,4,2",174,99,7.24E-11,3.43E-07,"1.0,1.0,1.0","0.363,0.0,0.46",0.726,SE
5057,ENSMUSG00000032076.19,Cadm1,chr9,+,47818733,47818817,47813772,47813945,47829376,47829409,5057,"125,144,133","76,90,68","216,227,203","77,69,66",183,99,4.16E-05,0.011637771,"0.471,0.464,0.514","0.603,0.64,0.625",-0.14,SE
5082,ENSMUSG00000030177.14,Ccdc77,chr6,-,120331811,120332031,120329333,120329459,120334768,120334917,5082,"24,18,19","1,0,0","15,21,17","2,3,3",319,99,2.35E-05,0.00817884,"0.882,1.0,1.0","0.699,0.685,0.637",0.287,SE
5397,ENSMUSG00000027254.13,Map1a,chr2,+,121299268,121307372,121298905,121299046,121307514,121307735,5397,"134,814,391,533","0,0,0","167,018,361,229","4,2,2",8203,99,0.000300463,0.044651086,"1.0,1.0,1.0","0.834,0.917,0.881",0.123,SE
5496,ENSMUSG00000068699.12,Flnc,chr6,+,29452798,29452897,29452132,29452380,29453198,29453298,5496,"0,0,0","1,3,1","5,1,6","1,0,4",198,99,6.96E-08,0.000119831,"0.0,0.0,0.0","0.714,1.0,0.429",-0.714,SE
5551,ENSMUSG00000018796.13,Acsl1,chr8,+,46471872,46472049,46471176,46471230,46492799,46493026,5551,"15,19,12","29,42,34","8,8,8","49,53,52",276,99,0.000229455,0.037000901,"0.156,0.14,0.112","0.055,0.051,0.052",0.083,SE
6038,ENSMUSG00000027259.15,Adal,chr2,+,121142523,121142654,121142092,121142303,121143148,121143209,6038,"44,45,41","11,15,12","67,70,58","3,1,1",230,99,3.63E-11,1.97E-07,"0.633,0.564,0.595","0.906,0.968,0.961",-0.348,SE
6076,ENSMUSG00000035247.16,Hectd1,chr12,-,51768528,51769365,51767555,51767777,51772273,51772450,6076,"336,336,332","3,1,0","304,361,289","11,4,3",936,99,0.000240071,0.038064788,"0.922,0.973,1.0","0.745,0.905,0.911",0.111,SE
6143,ENSMUSG00000100826.6,Snhg14,chr7,-,59673809,59673956,59669587,59669742,59676337,59676484,6143,"622,601,443","22,18,25","553,319,578","9,4,11",246,99,0.000196976,0.033724619,"0.919,0.931,0.877","0.961,0.97,0.955",-0.053,SE
6169,ENSMUSG00000060275.12,Nrg2,chr18,-,36031882,36031941,36024305,36024408,36032335,36032412,6169,"1,1,2","0,0,0","0,2,0","1,0,2",158,99,0.00015991,0.029274321,"1.0,1.0,1.0","0.0,1.0,0.0",0.667,SE
6228,ENSMUSG00000020990.5,Cdkl1,chr12,-,69760097,69760170,69757207,69757298,69769399,69769521,6228,"81,101,84","5,5,5","87,141,146","1,0,2",172,99,5.20E-05,0.01360075,"0.903,0.921,0.906","0.98,1.0,0.977",-0.076,SE
6822,ENSMUSG00000030704.14,Rab6a,chr7,+,100629837,100629943,100629665,100629771,100631741,100631853,6822,"140,815,491,501","42,47,62","154,117,311,280","69,90,102",205,99,4.51E-05,0.012371598,"0.942,0.941,0.921","0.915,0.903,0.858",0.043,SE
6836,ENSMUSG00000032386.15,Trip4,chr9,-,65896696,65896930,65884927,65885247,65908438,65908794,6836,"2,1,5","0,1,0","4,4,1","0,2,3",333,99,0.000347305,0.048033334,"1.0,0.229,1.0","1.0,0.373,0.09",0.255,SE
6873,ENSMUSG00000050875.11,A730017C20Rik,chr18,+,59066909,59066989,59065834,59065885,59072192,59072417,6873,"66,78,68","1,2,0","48,58,63","6,7,0",179,99,0.00029588,0.044317669,"0.973,0.956,1.0","0.816,0.821,1.0",0.097,SE
6974,ENSMUSG00000027012.15,Dync1i2,chr2,+,71233648,71233708,71228599,71228690,71235914,71236030,6974,"445,401,499","48,64,62","353,395,396","77,111,102",159,99,3.14E-07,0.000397239,"0.852,0.796,0.834","0.741,0.689,0.707",0.115,SE
7063,ENSMUSG00000029095.17,Ablim2,chr5,+,35849515,35849569,35848775,35848905,35857127,35857180,7063,"165,208,157","3,1,2","141,193,188","4,18,8",153,99,6.37E-06,0.003338883,"0.973,0.993,0.981","0.958,0.874,0.938",0.059,SE
7197,ENSMUSG00000020814.13,Mxra7,chr11,-,116810787,116810867,116803061,116804654,116811922,116812016,7197,"7,11,9","27,32,23","1,5,4","43,59,22",179,99,0.000107348,0.022120142,"0.125,0.16,0.178","0.013,0.045,0.091",0.105,SE
7513,ENSMUSG00000113585.1,Gm19605,chr12,-,110478359,110478623,110476813,110477001,110484035,110484207,7513,"7,2,4","0,0,0","4,5,10","0,5,2",363,99,8.46E-06,0.003956685,"1.0,1.0,1.0","1.0,0.214,0.577",0.403,SE
7520,ENSMUSG00000097487.7,Ptges3l,chr11,-,101419674,101419728,101418811,101419186,101421864,101421954,7520,"12,11,5","1,4,2","24,19,7","0,1,0",153,99,0.000109104,0.022186429,"0.886,0.64,0.618","1.0,0.925,1.0",-0.26,SE
